tvk,code,taxon
NBNSYS0000002879,,Cardamine bulbifera
NBNSYS0000002875,,Cardamine flexuosa
NHMSYS0000456792,,Cardamine heptaphylla
NBNSYS0000002876,,Cardamine hirsuta
NBNSYS0000002874,,Cardamine impatiens
NBNSYS0000002872,,Cardamine pratensis
NHMSYS0000456797,,Cardamine raphanifolia
NBNSYS0000004487,,Carduus crispus
NBNSYS0000161459,,Carduus crispus x nutans = C. x stangii
NBNSYS0000004486,,Carduus nutans
NBNSYS0000004484,,Carduus tenuiflorus
NBNSYS0000002457,,Carex acuta
NBNSYS0000002431,,Carex acutiformis
NHMSYS0000456829,,Carex appropinquata
NHMSYS0000352601,,Carex arenaria
NHMSYS0000456832,,Carex bigelowii
NHMSYS0000456834,,Carex binervis
NBNSYS0000002423,,Carex capillaris
NHMSYS0000456837,,Carex caryophyllea
NBNSYS0000002484,,Carex curta
NBNSYS0000002466,,Carex diandra
NBNSYS0000002449,,Carex digitata
NHMSYS0000456843,,Carex dioica
NHMSYS0000456844,,Carex disticha
NBNSYS0000014681,,Carex divulsa
NHMSYS0000456846,,Carex divulsa subsp. divulsa
NHMSYS0000456847,,Carex divulsa subsp. leersii
NBNSYS0000002482,,Carex echinata
NBNSYS0000002456,,Carex elata
NBNSYS0000002481,,Carex elongata
NBNSYS0000002445,,Carex ericetorum
NHMSYS0000456850,,Carex flacca
NBNSYS0000002417,,Carex flava
NBNSYS0000002442,,Carex hirta
NBNSYS0000002415,,Carex hostiana
NBNSYS0000161487,,Carex hostiana x viridula = C. x fulva
NHMSYS0000456866,,Carex laevigata
NBNSYS0000002443,,Carex lasiocarpa
NBNSYS0000002438,,Carex limosa
NBNSYS0000039526,,Carex muricata
NHMSYS0000456873,,Carex muricata subsp. muricata
NHMSYS0020110544,,Carex muricata subsp. pairae
NBNSYS0000002460,,Carex nigra
NBNSYS0000002450,,Carex ornithopoda
NBNSYS0000002467,,Carex otrubae
NHMSYS0001754767,,Carex otrubae x remota = C. x pseudoaxillaris
NBNSYS0000002486,,Carex ovalis
NBNSYS0000002434,,Carex pallescens
NBNSYS0000002436,,Carex panicea
NBNSYS0000002464,,Carex paniculata
NHMSYS0001754810,,Carex paniculata x remota = C. x boenninghauseniana
NHMSYS0000456886,,Carex pendula
NBNSYS0000002444,,Carex pilulifera
NBNSYS0000002425,,Carex pseudocyperus
NBNSYS0000002492,,Carex pulicaris
NBNSYS0000002483,,Carex remota
NBNSYS0000002430,,Carex riparia
NBNSYS0000002426,,Carex rostrata
NHMSYS0001754640,,Carex rostrata x vesicaria = C. x involuta
NHMSYS0000456896,,Carex spicata
NHMSYS0000456898,,Carex strigosa
NHMSYS0000456899,,Carex sylvatica
NBNSYS0000002427,,Carex vesicaria
NHMSYS0000456904,,Carex viridula
NHMSYS0000456906,,Carex viridula subsp. brachyrrhyncha
NHMSYS0000456908,,Carex viridula subsp. oedocarpa
NBNSYS0000004478,,Carlina vulgaris
NBNSYS0000003838,,Carpinus betulus
NHMSYS0000456951,,Carrichtera annua
NBNSYS0000014160,,Carthamus lanatus
NBNSYS0000014665,,Carthamus tinctorius
NBNSYS0000003679,,Carum carvi
NHMSYS0000456969,,Castanea sativa
NHMSYS0000456975,,Catabrosa aquatica
NHMSYS0100000961,,Catananche caerulea
NHMSYS0000456981,,Catapodium rigidum
NBNSYS0000003649,,Caucalis platycarpos
NHMSYS0000457001,,Cedrus atlantica
