taxon,tvk,start_day,start_month,end_day,end_month,stage
Lindenius pygmaeus,NHMSYS0000876243,1,7,31,7,mature
Linepithema humile,NBNSYS0100003766,1,10,31,10,mature
Lonchodryinus ruficornis,NHMSYS0000876271,1,5,30,9,mature
Macropis europaea,NHMSYS0000876276,1,5,30,9,mature
Megachile centuncularis,NHMSYS0000876295,1,3,30,9,mature
Megachile circumcincta,NHMSYS0000876296,1,5,31,8,mature
Megachile ligniseca,NHMSYS0000876300,1,3,31,10,mature
Megachile maritima,NHMSYS0000876301,1,5,30,9,mature
Megachile versicolor,NHMSYS0000876302,1,4,30,9,mature
Megachile willughbiella,NHMSYS0000876303,1,4,30,9,mature
Melecta albifrons,NHMSYS0000876305,1,3,31,8,mature
Melecta luctuosa,NHMSYS0000876307,1,4,30,6,mature
Melitta dimidiata,NHMSYS0000876311,1,6,31,8,mature
Melitta haemorrhoidalis,NHMSYS0000876312,1,2,31,8,mature
Melitta leporina,NHMSYS0000876313,1,6,30,9,mature
Melitta tricincta,NHMSYS0000876315,1,6,30,9,mature
Mellinus arvensis,NHMSYS0000876318,1,1,30,11,mature
Mellinus crabroneus,NHMSYS0000876319,1,7,31,8,mature
Methocha articulata,NHMSYS0000876326,1,5,30,9,mature
Microdynerus exilis,NHMSYS0000876330,1,5,31,8,mature
Mimesa bicolor,NHMSYS0000876333,1,5,31,8,mature
Mimesa bruxellensis,NHMSYS0000876334,1,6,30,9,mature
Mimesa equestris,NBNSYS0100004083,1,4,30,9,mature
Mimesa lutaria,NHMSYS0000876336,1,5,30,9,mature
Mimumesa atratina,NHMSYS0000876339,1,6,31,8,mature
Mimumesa dahlbomi,NBNSYS0100004089,1,5,31,10,mature
Mimumesa littoralis,NHMSYS0000876342,1,6,30,9,mature
Mimumesa spooneri,NBNSYS0100004091,1,6,30,9,mature
Mimumesa unicolor,NHMSYS0000876343,1,5,30,9,mature
Miscophus ater,NHMSYS0000876345,1,5,30,9,mature
Miscophus concolor,NBNSYS0000009479,1,5,30,9,mature
Monomorium pharaonis,NHMSYS0000876350,1,1,30,11,mature
Monosapyga clavicornis,NHMSYS0000876352,1,5,31,8,mature
Mutilla europaea,NHMSYS0000876354,1,2,30,11,mature
Myrmica hirsuta,NHMSYS0000876362,1,4,31,8,mature
Myrmica karavajevi,NHMSYS0000876363,1,7,31,10,mature
Myrmica lobicornis,NHMSYS0000876365,1,2,31,12,mature
Myrmica lonae,NHMSYS0020545625,1,6,30,6,mature
Myrmica specioides,NHMSYS0000876376,1,3,31,12,mature
Myrmica sulcinodis,NHMSYS0000876377,1,3,30,11,mature
Myrmica vandeli,NHMSYS0000876379,1,9,31,10,mature
Myrmosa atra,NHMSYS0000876382,1,4,31,10,mature
Nitela borealis,NHMSYS0000876393,1,5,31,8,mature
Nitela lucens,NHMSYS0000876394,1,5,30,9,mature
Nomada argentata,NHMSYS0000876400,1,7,30,9,mature
Nomada armata,NHMSYS0000876401,1,6,31,8,mature
Nomada baccata,NHMSYS0000876403,1,6,30,9,mature
Nomada conjungens,NHMSYS0000876410,1,5,31,7,mature
Nomada errans,NHMSYS0000876414,1,7,31,8,mature
Nomada fabriciana,NHMSYS0000876415,1,3,30,9,mature
Nomada ferruginata,NHMSYS0000876418,1,3,31,5,mature
Nomada flava,NHMSYS0000876419,1,3,31,8,mature
Nomada flavoguttata,NHMSYS0000876420,1,2,30,9,mature
Nomada flavopicta,NHMSYS0000876421,1,6,30,9,mature
Nomada fucata,NHMSYS0000876422,1,3,30,9,mature
Nomada fulvicornis,NHMSYS0000876423,1,3,30,9,mature
Nomada goodeniana,NHMSYS0000876427,1,3,30,9,mature
Nomada guttulata,NHMSYS0000876428,1,5,31,7,mature
Nomada hirtipes,NHMSYS0000876430,1,4,30,6,mature
Nomada integra,NHMSYS0000876432,1,4,31,8,mature
Nomada lathburiana,NHMSYS0000876435,1,3,31,8,mature
Nomada leucophthalma,NHMSYS0000876436,1,2,31,7,mature
Nomada marshamella,NHMSYS0000876438,1,3,31,12,mature
Nomada obtusifrons,NHMSYS0000876440,1,4,31,8,mature
Nomada panzeri,NHMSYS0000876442,1,3,31,12,mature
Nomada roberjeotiana,NBNSYS0100004273,1,6,31,8,mature
Nomada ruficornis,NHMSYS0000876447,1,3,31,8,mature
Nomada rufipes,NHMSYS0000876448,1,6,30,9,mature
Nomada sexfasciata,NHMSYS0000876454,1,5,31,7,mature
Nomada sheppardana,NHMSYS0000876455,1,3,31,8,mature
Nomada signata,NHMSYS0000876456,1,3,30,6,mature
Nomada striata,NHMSYS0000876460,1,3,30,9,mature
Nysson dimidiatus,NHMSYS0000876469,1,6,30,9,mature
Nysson interruptus,NHMSYS0000876470,1,5,31,7,mature
Nysson spinosus,NHMSYS0000876471,1,4,30,9,mature
Nysson trimaculatus,NHMSYS0000876472,1,5,30,9,mature
Odynerus melanocephalus,NHMSYS0000876481,1,5,31,7,mature
Odynerus reniformis,NHMSYS0000876482,1,6,31,7,mature
Odynerus simillimus,NHMSYS0000876483,1,5,31,8,mature
Odynerus spinipes,NHMSYS0000876484,1,4,30,9,mature
Omalus aeneus,NHMSYS0000876486,1,6,30,9,mature
Omalus puncticollis,NHMSYS0000876487,1,5,31,8,mature
Osmia aurulenta,NHMSYS0000876507,1,3,31,10,mature
Osmia bicolor,NHMSYS0000876508,1,1,31,8,mature
Osmia caerulescens,NBNSYS0100004362,1,3,30,9,mature
Osmia inermis,NHMSYS0000876512,1,4,30,6,mature
Osmia leaiana,NHMSYS0000876513,1,3,30,9,mature
Osmia parietina,NHMSYS0000876516,1,4,30,9,mature
Osmia pilicornis,NHMSYS0000876517,1,3,31,7,mature
Osmia spinulosa,NHMSYS0020774747,1,5,30,9,mature
Osmia uncinata,NHMSYS0000876519,1,5,31,7,mature
Osmia xanthomelana,NHMSYS0000876520,1,5,31,7,mature
Oxybelus argentatus,NHMSYS0000876522,1,5,31,8,mature
Oxybelus mandibularis,NHMSYS0000876523,1,6,30,9,mature
Oxybelus uniglumis,NHMSYS0000876526,1,4,30,9,mature
Panurgus banksianus,NHMSYS0000876528,1,4,30,9,mature
Panurgus calcaratus,NHMSYS0000876529,1,6,30,9,mature
