code,taxon,tvk
4,Aphelopus atratus,NHMSYS0000875415
4,Aphelopus camus,NHMSYS0000875416
4,Aphelopus melaleucus,NHMSYS0000875419
4,Aphelopus nigriceps,NHMSYS0000875420
4,Aphelopus serratus,NHMSYS0000875421
1,Apis mellifera,NHMSYS0000875423
3,Arachnospila minutula,NHMSYS0000875439
3,Arachnospila spissa,NHMSYS0000875440
3,Argogorytes fargeii,NHMSYS0000875445
3,Argogorytes mystaceus,NHMSYS0000875446
2,Astata boops,NHMSYS0000875449
4,Bethylus boops,NHMSYS0000875457
4,Bethylus cephalotes,NHMSYS0000875458
4,Bethylus dendrophilus,NHMSYS0000875459
4,Bethylus fuscicornis,NHMSYS0000875461
3,Bombus campestris,NHMSYS0000875546
5,Bombus cullumanus,NHMSYS0000875550
3,Bombus distinguendus,NHMSYS0000875554
3,Bombus hortorum,NHMSYS0000875562
3,Bombus humilis,NHMSYS0000875563
1,Bombus hypnorum,NHMSYS0000875564
3,Bombus jonellus,NHMSYS0000875565
1,Bombus lapidarius,NHMSYS0000875567
5,Bombus lucorum,NHMSYS0000875570
2,Bombus monticola,NHMSYS0000875571
3,Bombus muscorum,NHMSYS0000875572
2,Bombus pascuorum,NHMSYS0000875576
5,Bombus pomorum,NHMSYS0000875577
3,Bombus pratorum,NHMSYS0000875578
3,Bombus ruderarius,NHMSYS0000875582
4,Bombus ruderatus,NHMSYS0000875583
4,Bombus soroeensis,NHMSYS0000875588
4,Bombus subterraneus,NHMSYS0000875592
3,Bombus sylvarum,NHMSYS0000875593
3,Bombus sylvestris,NHMSYS0000875594
1,Bombus terrestris,NHMSYS0000875595
5,Cardiocondyla britteni,NHMSYS0000875602
4,Cephalonomia formiciformis,NHMSYS0000875607
4,Cephalonomia gallicola,NHMSYS0000875609
4,Cephalonomia hammi,NHMSYS0000875610
4,Cephalonomia tarsalis,NHMSYS0000875617
4,Cephalonomia waterstoni,NHMSYS0000875618
2,Ceratina cyanea,NHMSYS0000875623
3,Cerceris arenaria,NHMSYS0000875625
3,Cerceris quadricincta,NHMSYS0000875631
3,Cerceris quinquefasciata,NHMSYS0000875632
3,Cerceris ruficornis,NHMSYS0000875633
3,Cerceris rybyensis,NHMSYS0000875634
5,Cerceris sabulosa,NHMSYS0000875635
3,Ceropales maculata,NHMSYS0000875637
3,Ceropales variegata,NHMSYS0000875638
2,Chelostoma campanularum,NHMSYS0000875648
2,Chelostoma florisomne,NHMSYS0000875649
3,Chrysis angustula,NHMSYS0000875654
3,Chrysis fulgida,NHMSYS0000875658
3,Chrysis gracillima,NHMSYS0000875659
4,Chrysis ignita,NHMSYS0000875661
3,Chrysis illigeri,NHMSYS0000875662
4,Chrysis impressa,NHMSYS0000875663
5,Chrysis longula,NHMSYS0000875664
4,Chrysis mediata,NHMSYS0000875665
5,Chrysis pseudobrevitarsis,NHMSYS0000875667
4,Chrysis ruddii,NHMSYS0000875668
5,Chrysis schencki,NHMSYS0000875670
2,Chrysis viridula,NHMSYS0000875674
4,Chrysura hirsuta,NHMSYS0000875676
3,Chrysura radians,NHMSYS0000875679
3,Cleptes nitidulus,NHMSYS0000875681
3,Cleptes semiauratus,NHMSYS0000875683
5,Coelioxys afra,NHMSYS0000875697
6,Coelioxys conoidea sensu lato,NHMSYS0000875699
3,Coelioxys elongata,NHMSYS0000875700
3,Coelioxys inermis,NHMSYS0000875701
3,Coelioxys mandibularis,NHMSYS0000875702
3,Coelioxys quadridentata,NHMSYS0000875703
3,Coelioxys rufescens,NHMSYS0000875704
3,Colletes cunicularius,NHMSYS0000875722
3,Colletes daviesanus,NHMSYS0000875723
3,Colletes floralis,NHMSYS0000875724
3,Colletes fodiens,NHMSYS0000875725
3,Colletes halophilus,NHMSYS0000875726
3,Colletes marginatus,NHMSYS0000875727
3,Colletes similis,NHMSYS0000875730
3,Colletes succinctus,NHMSYS0000875731
3,Crabro cribrarius,NHMSYS0000875733
3,Crabro peltarius,NHMSYS0000875734
3,Crabro scutellatus,NHMSYS0000875735
5,Crematogaster scutellaris,NHMSYS0000875739
3,Crossocerus annulipes,NHMSYS0000875774
3,Crossocerus binotatus,NHMSYS0000875777
3,Crossocerus capitosus,NHMSYS0000875778
3,Crossocerus cetratus,NHMSYS0000875780
3,Crossocerus congener,NHMSYS0000875782
3,Crossocerus dimidiatus,NHMSYS0000875783
3,Crossocerus distinguendus,NHMSYS0000875784
3,Crossocerus elongatulus,NHMSYS0000875785
3,Crossocerus exiguus,NHMSYS0000875786
3,Crossocerus leucostomus,NHMSYS0000875791
3,Crossocerus megacephalus,NHMSYS0000875792
3,Crossocerus nigritus,NHMSYS0000875793
3,Crossocerus ovalis,NHMSYS0000875794
3,Crossocerus palmipes,NHMSYS0000875797
3,Crossocerus podagricus,NHMSYS0000875798
2,Crossocerus quadrimaculatus,NHMSYS0000875801
3,Crossocerus styrius,NHMSYS0000875804
3,Crossocerus tarsatus,NHMSYS0000875805
3,Crossocerus vagabundus,NHMSYS0000875806
3,Crossocerus walkeri,NHMSYS0000875810
3,Crossocerus wesmaeli,NHMSYS0000875811
1,Dasypoda hirtipes,NHMSYS0000875818
5,Dinetus pictus,NHMSYS0000875825
3,Diodontus insidiosus,NHMSYS0000875828
3,Diodontus luperus,NHMSYS0000875829
3,Diodontus minutus,NHMSYS0000875830
3,Diodontus tristis,NHMSYS0000875831
2,Dolichovespula media,NHMSYS0000875846
3,Dolichovespula norwegica,NHMSYS0000875847
3,Dolichovespula saxonica,NHMSYS0000875848
2,Dolichovespula sylvestris,NHMSYS0000875849
4,Dryinus collaris,NHMSYS0000875854
4,Dryinus niger,NHMSYS0000875856
5,Dufourea halictula,NHMSYS0000875860
3,Ectemnius borealis,NHMSYS0000875877
3,Ectemnius cavifrons,NHMSYS0000875878
3,Ectemnius cephalotes,NHMSYS0000875879
3,Ectemnius dives,NHMSYS0000875883
3,Ectemnius lapidarius,NHMSYS0000875885
3,Ectemnius lituratus,NHMSYS0000875887
3,Ectemnius rubicola,NHMSYS0000875893
3,Ectemnius ruficornis,NHMSYS0000875894
3,Elampus panzeri,NHMSYS0000875899
4,Embolemus ruddii,NHMSYS0000875903
3,Entomognathus brevis,NHMSYS0000875906
3,Epeolus cruciger,NHMSYS0000875908
3,Epeolus variegatus,NHMSYS0000875912
2,Episyron rufipes,NHMSYS0000875915
4,Epyris bilineatus,NHMSYS0000875918
4,Epyris niger,NHMSYS0000875923
3,Eucera longicornis,NHMSYS0000875930
5,Eucera nigrescens,NHMSYS0000875931
5,Eumenes coarctatus,NHMSYS0000875934
2,Eumenes coarctatus,NHMSYS0000875934
3,Euodynerus quadrifasciatus,NHMSYS0000875939
3,Evagetes dubius,NHMSYS0000875943
3,Evagetes pectinipes,NHMSYS0000875944
4,Formica aquilonia,NHMSYS0000875949
3,Formica cunicularia,NHMSYS0000875952
3,Formica exsecta,NHMSYS0000875953
3,Formica fusca,NHMSYS0000875954
3,Formica lemani,NHMSYS0000875957
3,Formica lugubris,NHMSYS0000875958
