taxon,tvk,km100,km10,coord_system
Beris fuscipes,NBNSYS0000007797,SH,12 13 22 23 24 27 32 33 34 36 38 39 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 60 61 62 63 64 65 66 67 72 73 74 75 76 77 78 81 82 83 84 85 86 87 88 90 91 92 93 94 95 96 98,OSGB
Beris fuscipes,NBNSYS0000007797,SJ,02 03 11 12 13 23 27 28 29 33 34 35 37 38 43 45 46 47 48 49 53 54 55 56 57 58 59 64 65 66 67 68 69 74 75 76 77 78 79 85 86 87 88 89 94 95 96 97 98 99,OSGB
Beris fuscipes,NBNSYS0000007797,SK,00 01 02 07 08 09 21 28 65 66 67 75 76 77 78 88,OSGB
Beris fuscipes,NBNSYS0000007797,SN,14 21 25 34 56 58 59 61 68 69 74 75 76 77 78 81 84 85 86 87 88 89 90 92 94 95 96 97 98 99,OSGB
Beris fuscipes,NBNSYS0000007797,SO,01 02 04 05 06 07 08 11 12 13 14 15 16 17 21 22 24 25 49,OSGB
Beris fuscipes,NBNSYS0000007797,SP,64,OSGB
Beris fuscipes,NBNSYS0000007797,SS,10 11 14 20 21 22 30 31 32 38 39 40 41 50 51 52 54 60 61 62 63 64 70 71 72 73 74 75 77 80 81 82 83 84 90 91 92 93 94 97,OSGB
Beris fuscipes,NBNSYS0000007797,ST,00 01 02 03 10 11 12 13 14 16 17 20 21 22 23 30 31 32 33 40 41 42 43 44 50 51 52 53 54 55 60 61 62 63 64 65 70 71 72 73 74 80 81 82 84 90,OSGB
Beris fuscipes,NBNSYS0000007797,SU,00 01 10 11 31 32 41 42 47 50 51 60 61 65 74 80,OSGB
Beris fuscipes,NBNSYS0000007797,SW,54 61 75 76 86 87 96 97 98,OSGB
Beris fuscipes,NBNSYS0000007797,SX,06 07 08 09 16 17 18 19 25 26 27 28 29 35 36 37 38 39 45 46 47 48 49 55 56 57 58 59 64 65 66 67 68 69 73 74 75 76 77 78 79 84 85 86 87 88 89 94 95 96 97 98 99,OSGB
Beris fuscipes,NBNSYS0000007797,SY,07 08 09 18 19 28 29 39 48 49 58 59 66 67 68 69 78 79 88 89 97 98 99,OSGB
Beris fuscipes,NBNSYS0000007797,SZ,07 08 09 19 38 48 49 58 59,OSGB
Beris fuscipes,NBNSYS0000007797,TF,08,OSGB
Beris fuscipes,NBNSYS0000007797,TQ,81 84 93,OSGB
Stratiomys potamida,NBNSYS0000007842,NT,16 26 35 36 46 54 56 57 75 76,OSGB
Stratiomys potamida,NBNSYS0000007842,NZ,11 12 13 14 15 16 17 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38 41 42 43 44 45 46 50 52 53 60 61 62 70 71 80 81 90,OSGB
Stratiomys potamida,NBNSYS0000007842,SD,40 41 50 52 60 61 62 70 74 80 82 95,OSGB
Stratiomys potamida,NBNSYS0000007842,SE,22 27 30 31 40 41 48 49 50 57 58 59 61 67 68 69 70 76 77 78 79 80 81 82 84 85 86 87 88 89 90 91 93 94 95 96 97 98 99,OSGB
Stratiomys potamida,NBNSYS0000007842,SH,97,OSGB
Stratiomys potamida,NBNSYS0000007842,SJ,06 07 08 15 16 17 20 21 22 23 24 25 26 27 31 32 33 34 35 36 37 40 41 42 43 44 45 49 50 51 52 54 59 60 61 62 69 70 71 72 80,OSGB
Stratiomys potamida,NBNSYS0000007842,SK,00 37 38 39 48 49 58 59 71 72 79 83 84 89 90 91 92 95 98,OSGB
Stratiomys potamida,NBNSYS0000007842,SN,90,OSGB
