"km100","km10","coord_system","taxon","tvk"
"TM","00 01 02 03 04 05 06 07 08 09 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 33 34 35 36 37 38 39 44 45 46 47 48 49 57 58 59","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"TQ","00 01 02 03 04 05 06 07 08 09 10 11 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 45 46 47 48 49 50 51 52 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"TR","01 02 03 04 05 06 07 09 12 13 14 15 16 23 24 25 26 27 33 34 35 36 37 46 47","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"TV","49 59 69","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"NB","31 43 90 91","OSGB","Cryptostemma alienum","NBNSYS0000010331"
"NC","00 01 02 03 10 11 12 21","OSGB","Cryptostemma alienum","NBNSYS0000010331"
"NG","56 64 65 73 74 75 76 77 78 83 84 85 86 87 88 89 93 94 95 96 97 98 99","OSGB","Cryptostemma alienum","NBNSYS0000010331"
"NH","01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 51 52 53 54 55 56 57 58 62 63 65 67 72 73","OSGB","Cryptostemma alienum","NBNSYS0000010331"
"NN","51 52 53 62 63 71 72 73 74 75 76 81 82 83 84 85 86 91 92 93 94 95 96","OSGB","Cryptostemma alienum","NBNSYS0000010331"
"NO","01 02 03 04 05 06 12 13 14 15 16 23 24 25 35","OSGB","Cryptostemma alienum","NBNSYS0000010331"
"NT","01 10 20 21 30 31 32 34 40 41 60 70 71 81","OSGB","Cryptostemma alienum","NBNSYS0000010331"
"NY","10 11 20 21 28 29 31 38 39 41 49 58 59 79 80 81 82 89 90 91","OSGB","Cryptostemma alienum","NBNSYS0000010331"
"NZ","00","OSGB","Cryptostemma alienum","NBNSYS0000010331"
"SD","17 27 37 38 44 45 46 47 48 49 53 54 55 56 57 58 59 62 63 64 65 66 67 68 69 72 73 74 75 76 77 78 79 83 84 85 86 87 88 89 93 94 95 96 97 98 99","OSGB","Cryptostemma alienum","NBNSYS0000010331"
"SE","05 06 07 08 09","OSGB","Cryptostemma alienum","NBNSYS0000010331"
"SH","12 13 23 24 28 32 33 34 38 39 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 61 63 64 65 66 67 68 71 74 75 76 77 78 84 85 86 87 88 94 95 96 97 98","OSGB","Cryptostemma alienum","NBNSYS0000010331"
"SJ","00 04 05 07 08 16 17","OSGB","Cryptostemma alienum","NBNSYS0000010331"
"SM","93","OSGB","Cryptostemma alienum","NBNSYS0000010331"
"SN","04 14 15 24 25 34 35 36 45 46 55 56 57 58 59 67 68 69 83 84 92 93 94 96 97 98 99","OSGB","Cryptostemma alienum","NBNSYS0000010331"
