code,taxon,tvk
3,Pipizella viduata,NBNSYS0100022723
3,Platycheirus clypeatus,NBNSYS0100022739
3,Syrphus torvus,NBNSYS0100022820
4,Eupeodes bucculatus,NBNSYS0100027420
5,Heringia senilis,NBNSYS0100027468
2,Xylota jakutorum,NBNSYS0100027469
3,Microdon myrmicae,NBNSYS0100027470
4,Platycheirus aurolateralis,NBNSYS0100027555
5,Pipiza festiva,NBNSYS0100027556
3,Eumerus funeralis,NBNSYS0100027571
4,Chrysotoxum octomaculatum,NHMSYS0021182153
2,Xanthogramma pedissequum sensu lato,NHMSYS0021196425
2,Dasysyrphus venustus sensu lato,NHMSYS0021196476
5,Microdon mutabilis sens.lat.,NHMSYS0021239778
3,Pipiza fasciata,NHMSYS0021264992
4,Pipiza notata,NHMSYS0021264997
1,Sericomyia superbiens,NHMSYS0021265002
3,Eristalis abusiva,NHMSYS0021385409
1,Eristalis intricaria,NHMSYS0021385414
5,Pelecocera caledonica,NHMSYS0021590762
3,Pelecocera scaevoides,NHMSYS0021590767
