"km100","km10","coord_system","taxon","tvk"
"TA","01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 30 31 32 33 40 41 42","OSGB","Empoasca vitis","NHMSYS0020705544"
"TF","00 01 02 03 04 05 06 07 08 10 11 12 13 14 15 16 17 19 20 21 22 23 26 27 28 29 30 31 33 34 36 37 38 39 41 42 43 44 45 46 47 48 49 50 51 52 55 56 57 58 60 61 62 64 70 71 72 73 74 80 81 82 83 84 90 91 92 93 94","OSGB","Empoasca vitis","NHMSYS0020705544"
"TG","00 01 02 03 04 10 11 12 13 20 21 22 23 30 31 32 40 41","OSGB","Empoasca vitis","NHMSYS0020705544"
"TL","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 93 98 99","OSGB","Empoasca vitis","NHMSYS0020705544"
"TM","00 01 07 08 09 11 17 19 21 28 29 38 39 47 48 49 58 59","OSGB","Empoasca vitis","NHMSYS0020705544"
"SS","10 38 42 43 44 48 49 53 54 58 59 68 69 75 77 78 79 84 87 88 89 90 92 93 94 96 97 98 99","OSGB","Empoasca vitis","NHMSYS0020705544"
"ST","00 01 02 03 04 06 07 08 09 10 11 12 13 14 16 17 18 19 20 21 22 23 25 26 27 28 29 30 31 32 37 38 39 40 41 42 43 44 48 49 50 51 52 53 55 57 58 59 60 61 62 63 64 67 68 69 70 71 72 73 74 80 81 82 83 84 85 86 90 91 92 93 94 95 96 97 98 99","OSGB","Empoasca vitis","NHMSYS0020705544"
"TV","69","OSGB","Empoasca vitis","NHMSYS0020705544"
"TQ","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 91 92 93 94 95 96 97 98 99","OSGB","Empoasca vitis","NHMSYS0020705544"
"TR","01 02 03 04 05 06 07 09 12 13 14 15 16 23 24 25 26 27 33 34 35 36 37","OSGB","Empoasca vitis","NHMSYS0020705544"
"SE","49 58 59 68 69 78 79 88 89 98 99","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"NZ","50 60 61 70 71 80 81 90","OSGB","Euconomelus lepidus","NHMSYS0020705554"
